티커,종목명,Market,BPS,PER,PBR,EPS,DIV,DPS,Stocks
005930,삼성전자,KOSPI,57822,8.23,1.15,8057,2.18,1444,5969782550.0
373220,LG에너지솔루션,KOSPI,80052,160.01,6.61,3306,0.0,0,234000000.0
000660,SK하이닉스,KOSPI,92004,36.15,1.27,3242,1.02,1200,728002365.0
207940,삼성바이오로직스,KOSPI,126233,67.38,6.11,11442,0.0,0,71174000.0
005490,POSCO홀딩스,KOSPI,692323,13.24,0.79,41456,2.19,12000,84571230.0
051910,LG화학,KOSPI,445524,24.04,1.28,23670,1.76,10000,70592343.0
006400,삼성SDI,KOSPI,251948,20.45,2.37,29191,0.17,1030,68764530.0
005380,현대차,KOSPI,407147,6.53,0.46,28521,3.76,7000,211531506.0
003670,포스코퓨처엠,KOSPI,31922,273.41,13.08,1527,0.07,300,77463220.0
035420,NAVER,KOSPI,151646,42.44,1.4,5007,0.43,914,164049085.0
000270,기아,KOSPI,98117,5.81,0.8,13495,4.46,3500,402044203.0
035720,카카오,KOSPI,22893,15.6,2.12,3106,0.12,60,444263290.0
068270,셀트리온,KOSPI,28937,40.1,5.2,3751,0.25,375,146390862.0
012330,현대모비스,KOSPI,410816,8.45,0.56,27163,1.74,4000,94285094.0
105560,KB금융,KOSPI,124124,4.75,0.42,10955,5.67,2950,403511072.0
028260,삼성물산,KOSPI,164524,8.22,0.62,12460,2.25,2300,185591670.0
096770,SK이노베이션,KOSPI,229593,9.56,0.76,18214,3.35,5840,92465564.0
055550,신한지주,KOSPI,95206,4.12,0.37,8454,5.93,2065,518347118.0
066570,LG전자,KOSPI,116599,14.8,0.84,6640,0.71,700,163647814.0
047050,포스코인터내셔널,KOSPI,32288,17.05,2.52,4780,1.23,1000,175922788.0
032830,삼성생명,KOSPI,124081,7.49,0.53,8817,4.55,3000,200000000.0
003550,LG,KOSPI,164082,6.42,0.49,12422,3.76,3000,157300993.0
009150,삼성전기,KOSPI,103702,11.14,1.39,12977,1.45,2100,74693696.0
086790,하나금융지주,KOSPI,124935,3.18,0.3,11803,8.92,3350,295903476.0
033780,KT&G,KOSPI,80114,10.06,1.07,8489,5.85,5000,137292497.0
000810,삼성화재,KOSPI,276525,8.34,0.91,30113,5.5,13800,47374837.0
034730,SK,KOSPI,391404,7.1,0.35,19547,3.6,5000,73198329.0
352820,하이브,KOSPI,66995,186.96,3.53,1265,0.0,0,41652097.0
018260,삼성에스디에스,KOSPI,106311,9.59,1.28,14218,2.35,3200,77377800.0
017670,SK텔레콤,KOSPI,51911,11.47,0.91,4118,7.03,3320,218833144.0
138040,메리츠금융지주,KOSPI,27050,5.89,1.83,8406,0.21,105,208217858.0
010130,고려아연,KOSPI,455251,10.83,1.02,42967,4.3,20000,19863158.0
003490,대한항공,KOSPI,24426,4.94,0.97,4787,3.17,750,368220661.0
011200,HMM,KOSPI,42300,0.85,0.42,20556,6.83,1200,489039496.0
010950,S-Oil,KOSPI,75353,4.04,0.97,18075,7.53,5500,112582792.0
316140,우리금융지주,KOSPI,39505,2.72,0.29,4191,9.93,1130,728060549.0
024110,기업은행,KOSPI,36302,3.14,0.29,3320,9.2,960,797425869.0
259960,크래프톤,KOSPI,108962,14.81,1.45,10666,0.0,0,48362743.0
030200,KT,KOSPI,64880,6.27,0.5,5209,6.0,1960,261111808.0
028050,삼성엔지니어링,KOSPI,13741,10.47,2.58,3392,0.0,0,196000000.0
051900,LG생활건강,KOSPI,364213,31.71,1.23,14112,0.89,4000,15618197.0
090430,아모레퍼시픽,KOSPI,82107,62.6,1.49,1949,0.56,680,58492759.0
011170,롯데케미칼,KOSPI,404799,75.76,0.32,1716,2.69,3500,42775419.0
009830,한화솔루션,KOSPI,47292,18.77,0.74,1873,0.0,0,171892536.0
086280,현대글로비스,KOSPI,183094,5.4,0.94,31729,3.33,5700,37500000.0
402340,SK스퀘어,KOSPI,118972,23.92,0.37,1837,0.0,0,141467571.0
011070,LG이노텍,KOSPI,180261,6.18,1.42,41406,1.62,4150,23667107.0
012450,한화에어로스페이스,KOSPI,56612,27.14,1.9,3964,0.93,1000,50630000.0
036570,엔씨소프트,KOSPI,157391,11.65,1.59,21456,2.67,6680,21954022.0
302440,SK바이오사이언스,KOSPI,22683,47.49,3.34,1596,0.0,0,76784046.0
241560,두산밥캣,KOSPI,50136,8.36,1.07,6421,2.51,1350,100249166.0
000100,유한양행,KOSPI,28354,55.15,2.59,1329,0.55,400,76638657.0
