Date,Open,High,Low,Close
2021-11-08,125625.0,128550.0,123000.0,126700.0
2021-11-09,125475.0,139900.0,124650.0,139375.0
2021-11-10,136175.0,142275.0,133775.0,134775.0
2021-11-11,134775.0,142250.0,134725.0,140950.0
2021-11-12,142700.0,143225.0,138075.0,140750.0
2021-11-15,140750.0,143700.0,139175.0,141125.0
2021-11-16,140350.0,142375.0,138750.0,140125.0
2021-11-17,141100.0,141800.0,138750.0,139950.0
2021-11-18,139950.0,143775.0,138000.0,141875.0
2021-11-19,142500.0,143000.0,133600.0,136625.0
2021-11-22,136175.0,136175.0,129800.0,134750.0
2021-11-23,134750.0,136450.0,131775.0,133750.0
2021-11-24,133000.0,136700.0,132600.0,136700.0
2021-11-25,136700.0,138625.0,133875.0,134000.0
2021-11-26,134125.0,136400.0,133875.0,134850.0
2021-11-29,130000.0,134500.0,128925.0,130975.0
2021-11-30,133250.0,138375.0,131350.0,135850.0
2021-12-01,135975.0,136250.0,125275.0,129450.0
2021-12-02,127600.0,128500.0,122500.0,124650.0
2021-12-03,125000.0,132450.0,124750.0,132000.0
2021-12-06,130075.0,130075.0,125000.0,126025.0
2021-12-07,126750.0,129350.0,125300.0,125575.0
2021-12-08,128625.0,135600.0,128150.0,133750.0
2021-12-09,134375.0,136275.0,130975.0,136275.0
2021-12-10,132500.0,133750.0,129750.0,129825.0
2021-12-13,130125.0,131575.0,127600.0,128375.0
2021-12-14,125575.0,128225.0,125000.0,127275.0
2021-12-15,125025.0,131000.0,125025.0,128150.0
2021-12-16,131225.0,131575.0,127625.0,128050.0
2021-12-17,125250.0,127225.0,125050.0,127225.0
2021-12-20,125800.0,127050.0,125000.0,125300.0
2021-12-21,125300.0,127175.0,120725.0,126950.0
2021-12-22,128475.0,129875.0,126075.0,126875.0
2021-12-23,127250.0,130200.0,125675.0,127125.0
2021-12-24,127550.0,128075.0,125200.0,125500.0
2021-12-27,125425.0,126000.0,124250.0,124250.0
2021-12-28,124725.0,131350.0,124725.0,130950.0
2021-12-29,130000.0,131150.0,125000.0,125800.0
2021-12-30,125825.0,126000.0,123775.0,125200.0
2022-01-04,122050.0,122250.0,117000.0,118750.0
2022-01-05,118300.0,118400.0,115000.0,116375.0
2022-01-06,112450.0,117450.0,112450.0,113125.0
2022-01-07,113125.0,117000.0,112400.0,112700.0
2022-01-10,111400.0,112675.0,107575.0,109225.0
2022-01-11,108775.0,111050.0,105500.0,106125.0
2022-01-12,107550.0,111650.0,107550.0,111250.0
2022-01-13,113625.0,115000.0,108275.0,110775.0
2022-01-14,107875.0,109725.0,107275.0,108250.0
2022-01-17,108325.0,111400.0,108000.0,108775.0
2022-01-18,109250.0,112400.0,108325.0,109575.0
2022-01-19,109625.0,109800.0,106300.0,107975.0
2022-01-20,107350.0,113750.0,107000.0,113750.0
2022-01-21,113125.0,113125.0,108250.0,108450.0
2022-01-24,101750.0,105475.0,98000.0,100100.0
2022-01-25,100150.0,104050.0,99650.0,101575.0
2022-01-26,101875.0,103125.0,82125.0,82125.0
2022-01-27,78700.0,86650.0,78150.0,81525.0
2022-01-28,80000.0,84375.0,73400.0,82075.0
2022-02-03,85450.0,88000.0,82525.0,84750.0
2022-02-04,84750.0,86800.0,83750.0,84850.0
2022-02-07,81825.0,82675.0,75750.0,81400.0
2022-02-08,80875.0,85625.0,79750.0,80575.0
2022-02-09,81850.0,84075.0,80925.0,83075.0
2022-02-10,83750.0,84000.0,79525.0,79750.0
2022-02-11,78050.0,86200.0,77275.0,83250.0
2022-02-14,81650.0,84875.0,80050.0,82600.0
2022-02-15,83150.0,85700.0,80925.0,82750.0
2022-02-16,85750.0,87025.0,84125.0,85650.0
2022-02-17,86400.0,90825.0,84750.0,87600.0
2022-02-18,86200.0,88150.0,85275.0,86950.0
2022-02-21,84950.0,86375.0,83200.0,85900.0
2022-02-22,84250.0,87575.0,84150.0,86950.0
2022-02-23,87200.0,88750.0,85325.0,86375.0
2022-02-24,85325.0,85500.0,81400.0,81400.0
2022-02-25,84200.0,90000.0,83450.0,90000.0
2022-02-28,88750.0,95000.0,88550.0,93800.0
2022-03-02,93025.0,99925.0,92950.0,98375.0
2022-03-03,100875.0,101075.0,97750.0,98125.0
2022-03-04,97500.0,99175.0,96475.0,96700.0
2022-03-07,93750.0,96925.0,93750.0,95350.0
2022-03-08,92600.0,93025.0,87075.0,87075.0
2022-03-10,89675.0,92500.0,88325.0,89825.0
2022-03-11,89850.0,89925.0,85000.0,85475.0
2022-03-14,83650.0,83725.0,78600.0,80600.0
2022-03-15,78550.0,82150.0,78550.0,81625.0
2022-03-16,83950.0,86100.0,83300.0,84850.0
2022-03-17,89700.0,91600.0,87500.0,89575.0
2022-03-18,90475.0,91475.0,89550.0,90625.0
2022-03-21,92550.0,93650.0,90650.0,90675.0
2022-03-22,91075.0,91200.0,89100.0,90600.0
2022-03-23,93600.0,98625.0,93000.0,97800.0
2022-03-24,96525.0,96525.0,93625.0,95625.0
2022-03-25,96625.0,97800.0,95875.0,96275.0
2022-03-28,96225.0,96250.0,93075.0,93625.0
2022-03-29,96975.0,97775.0,95525.0,95875.0
2022-03-30,97300.0,98475.0,96500.0,97125.0
2022-03-31,96250.0,100000.0,95775.0,99425.0
2022-04-01,98750.0,99500.0,97525.0,97575.0
2022-04-04,97475.0,98050.0,96000.0,97175.0
2022-04-05,98725.0,103725.0,98225.0,103725.0
2022-04-06,101275.0,105950.0,100750.0,105950.0
2022-04-07,110925.0,112550.0,104850.0,107525.0
2022-04-08,107575.0,123025.0,107550.0,117125.0
2022-04-11,117950.0,119775.0,114250.0,114250.0
2022-04-12,111575.0,112975.0,109325.0,110850.0
2022-04-13,112350.0,117125.0,112125.0,116100.0
2022-04-14,117600.0,118125.0,114500.0,114700.0
2022-04-15,112925.0,115425.0,111075.0,114625.0
2022-04-18,115600.0,117425.0,114000.0,116750.0
2022-04-19,118450.0,120725.0,118000.0,120000.0
2022-04-20,120750.0,121250.0,118375.0,118775.0
2022-04-21,119700.0,121725.0,118525.0,118625.0
2022-04-22,117925.0,119450.0,117000.0,118425.0
2022-04-25,117000.0,118425.0,113775.0,113800.0
2022-04-26,114000.0,116750.0,112300.0,112675.0
2022-04-27,107750.0,112675.0,106875.0,112450.0
2022-04-28,113375.0,114250.0,111100.0,112875.0
2022-04-29,113500.0,119950.0,111875.0,119100.0
2022-05-02,118200.0,122825.0,117725.0,122500.0
2022-05-03,124025.0,128100.0,124000.0,127750.0
2022-05-04,130500.0,133025.0,128600.0,130025.0
2022-05-06,129425.0,133175.0,124100.0,124625.0
2022-05-10,117000.0,119900.0,115350.0,119225.0
2022-05-11,119150.0,119850.0,117150.0,119100.0
2022-05-12,117000.0,117025.0,111525.0,111525.0
2022-05-13,111750.0,113550.0,107000.0,112375.0
2022-05-16,115250.0,115700.0,112375.0,112375.0
2022-05-17,112775.0,117500.0,112525.0,117375.0
2022-05-18,120525.0,122850.0,118975.0,118975.0
2022-05-19,115425.0,122875.0,115300.0,118700.0
2022-05-20,119175.0,123675.0,119175.0,123350.0
2022-05-23,124950.0,126125.0,122125.0,124100.0
2022-05-24,123750.0,124375.0,119625.0,119625.0
2022-05-25,120250.0,121200.0,116500.0,118750.0
2022-05-26,119400.0,120050.0,115775.0,116450.0
2022-05-27,118700.0,118900.0,116750.0,116775.0
2022-05-30,119575.0,122425.0,117275.0,122300.0
2022-05-31,123825.0,126250.0,122575.0,126250.0
2022-06-02,125175.0,126275.0,124025.0,125800.0
2022-06-03,127325.0,127350.0,123525.0,123950.0
2022-06-07,123275.0,123975.0,119675.0,120275.0
2022-06-08,121000.0,122500.0,120100.0,121375.0
2022-06-09,121500.0,125725.0,120725.0,125700.0
2022-06-10,124500.0,128000.0,122675.0,127975.0
2022-06-13,125475.0,129875.0,125250.0,127875.0
2022-06-14,125900.0,134650.0,125850.0,133975.0
2022-06-15,135000.0,139225.0,127550.0,128050.0
2022-06-16,130800.0,133025.0,129000.0,130500.0
2022-06-17,128750.0,131950.0,128725.0,129925.0
2022-06-20,131775.0,134300.0,127700.0,129725.0
2022-06-21,130325.0,131325.0,125000.0,130750.0
2022-06-22,132600.0,134875.0,130375.0,130500.0
2022-06-23,128525.0,130450.0,117750.0,117800.0
2022-06-24,120250.0,124750.0,117800.0,124350.0
2022-06-27,135000.0,156600.0,131700.0,135900.0
