Date,Open,High,Low,Close
2022-11-10,7580.0,7720.0,7440.0,7440.0
2022-11-11,7610.0,7740.0,7430.0,7460.0
2022-11-14,7530.0,7740.0,7520.0,7640.0
2022-11-15,7640.0,7650.0,7330.0,7410.0
2022-11-16,7430.0,7440.0,7140.0,7230.0
2022-11-17,7230.0,7370.0,7160.0,7220.0
2022-11-18,7270.0,7310.0,7100.0,7120.0
2022-11-21,7130.0,7420.0,7050.0,7240.0
2022-11-22,7320.0,7380.0,7130.0,7140.0
2022-11-23,7220.0,7390.0,7170.0,7310.0
2022-11-24,7430.0,7640.0,7350.0,7470.0
2022-11-25,7500.0,7660.0,7450.0,7500.0
2022-11-28,7510.0,9570.0,7510.0,9230.0
2022-11-29,9110.0,10900.0,8900.0,10050.0
2022-11-30,10100.0,11100.0,9940.0,10200.0
2022-12-01,10450.0,11750.0,10150.0,11300.0
2022-12-02,10950.0,11000.0,9660.0,9770.0
2022-12-05,9710.0,9950.0,9420.0,9620.0
2022-12-06,9540.0,10050.0,9490.0,9530.0
2022-12-07,9730.0,9960.0,9500.0,9500.0
2022-12-08,9390.0,9430.0,9030.0,9170.0
2022-12-09,9240.0,9260.0,8760.0,8790.0
2022-12-12,8780.0,8930.0,8640.0,8710.0
2022-12-13,8810.0,9120.0,8540.0,8580.0
2022-12-14,8610.0,9020.0,8560.0,8820.0
2022-12-15,8750.0,8770.0,8400.0,8410.0
2022-12-16,8200.0,8520.0,8200.0,8350.0
2022-12-19,8350.0,8970.0,8350.0,8600.0
2022-12-20,8550.0,8860.0,8300.0,8350.0
2022-12-21,9500.0,10150.0,9110.0,9200.0
2022-12-22,9590.0,10200.0,9310.0,9470.0
2022-12-23,9260.0,9270.0,8700.0,8700.0
2022-12-26,8560.0,8710.0,8400.0,8410.0
2022-12-27,8520.0,8970.0,8400.0,8550.0
2022-12-28,8430.0,8620.0,8300.0,8320.0
2022-12-29,8280.0,8360.0,7990.0,7990.0
2023-01-02,7990.0,8180.0,7650.0,7710.0
2023-01-03,7730.0,7880.0,7580.0,7740.0
2023-01-04,7670.0,7820.0,7550.0,7760.0
2023-01-05,7760.0,7830.0,7490.0,7540.0
2023-01-06,7500.0,7760.0,7420.0,7570.0
2023-01-09,7660.0,7910.0,7620.0,7800.0
2023-01-10,7820.0,7920.0,7640.0,7710.0
2023-01-11,7770.0,8000.0,7730.0,7860.0
2023-01-12,7940.0,8150.0,7850.0,7990.0
2023-01-13,8020.0,8080.0,7910.0,7910.0
2023-01-16,7960.0,8070.0,7910.0,7970.0
2023-01-17,7970.0,8050.0,7710.0,7730.0
2023-01-18,7730.0,7780.0,7560.0,7570.0
2023-01-19,7570.0,7670.0,7520.0,7550.0
2023-01-20,7520.0,7690.0,7450.0,7600.0
2023-01-25,7660.0,7710.0,7560.0,7580.0
2023-01-26,7550.0,8100.0,7550.0,7960.0
2023-01-27,8070.0,8150.0,7880.0,7930.0
2023-01-30,7940.0,8100.0,7830.0,7960.0
2023-01-31,8960.0,9300.0,8560.0,8610.0
2023-02-01,8710.0,9380.0,8690.0,8710.0
2023-02-02,8810.0,8830.0,8410.0,8680.0
2023-02-03,8710.0,8840.0,8540.0,8830.0
2023-02-06,8740.0,9100.0,8710.0,8860.0
2023-02-07,8880.0,8960.0,8680.0,8680.0
2023-02-08,8740.0,8820.0,8510.0,8510.0
2023-02-09,8510.0,8740.0,8400.0,8690.0
2023-02-10,8590.0,8610.0,8410.0,8470.0
2023-02-13,8570.0,8670.0,8480.0,8520.0
2023-02-14,8580.0,8590.0,8420.0,8430.0
2023-02-15,8500.0,8820.0,8480.0,8510.0
2023-02-16,8640.0,9100.0,8600.0,9060.0
2023-02-17,8890.0,9120.0,8760.0,8950.0
2023-02-20,9030.0,9230.0,8830.0,9170.0
2023-02-21,9180.0,9320.0,8980.0,9090.0
2023-02-22,8920.0,9000.0,8700.0,8770.0
2023-02-23,9020.0,9160.0,8760.0,8770.0
2023-02-24,8870.0,8990.0,8470.0,8630.0
2023-02-27,8540.0,8780.0,8540.0,8680.0
2023-02-28,8690.0,8790.0,8630.0,8650.0
2023-03-02,8670.0,8970.0,8670.0,8810.0
2023-03-03,8900.0,9100.0,8810.0,8890.0
2023-03-06,9130.0,11550.0,9060.0,11550.0
2023-03-07,11560.0,13450.0,11550.0,12350.0
2023-03-08,12570.0,13240.0,11900.0,12450.0
2023-03-09,12380.0,12390.0,11280.0,11550.0
2023-03-10,11130.0,11480.0,10820.0,11130.0
2023-03-13,11000.0,11350.0,10860.0,11250.0
2023-03-14,11050.0,11100.0,10540.0,10870.0
2023-03-15,11190.0,11200.0,10560.0,10820.0
2023-03-16,10920.0,13220.0,10840.0,12200.0
2023-03-17,11970.0,12030.0,11370.0,11530.0
2023-03-20,11140.0,11640.0,11030.0,11390.0
2023-03-21,11390.0,13680.0,11360.0,12740.0
2023-03-22,12920.0,14100.0,12860.0,12970.0
2023-03-23,13260.0,14850.0,13100.0,13720.0
2023-03-24,14300.0,14780.0,13700.0,14040.0
2023-03-27,14160.0,18250.0,14100.0,18250.0
2023-03-28,19500.0,20750.0,18600.0,19130.0
2023-03-29,19150.0,23800.0,18750.0,22750.0
2023-03-30,23450.0,23500.0,21150.0,21650.0
2023-03-31,21300.0,23250.0,19700.0,20700.0
2023-04-03,22050.0,22100.0,20700.0,20950.0
2023-04-04,21300.0,22850.0,20000.0,20600.0
2023-04-05,20700.0,21800.0,20000.0,21600.0
2023-04-06,21200.0,22050.0,20850.0,22000.0
2023-04-07,21700.0,22450.0,21250.0,22450.0
2023-04-10,22900.0,26250.0,22800.0,25000.0
2023-04-11,26050.0,27200.0,22150.0,25400.0
2023-04-12,24650.0,25100.0,22200.0,22300.0
2023-04-13,21650.0,23700.0,20700.0,23000.0
2023-04-14,24050.0,29450.0,23450.0,28400.0
2023-04-17,28000.0,34150.0,27500.0,32800.0
2023-04-18,33300.0,39600.0,31200.0,32200.0
2023-04-19,33550.0,35200.0,30200.0,31300.0
2023-04-20,30450.0,31700.0,29400.0,30050.0
2023-04-21,29700.0,29700.0,26650.0,27000.0
2023-04-24,27000.0,28700.0,26150.0,28350.0
2023-04-25,28450.0,28450.0,24550.0,25300.0
2023-04-26,26000.0,26450.0,24200.0,24400.0
2023-04-27,23800.0,26150.0,23250.0,26150.0
2023-04-28,26950.0,27150.0,22500.0,23050.0
2023-05-02,22900.0,24100.0,22900.0,23400.0
2023-05-03,23400.0,24200.0,22500.0,23600.0
2023-05-04,23500.0,23850.0,21950.0,22650.0
2023-05-08,23100.0,23300.0,21750.0,21900.0
2023-05-09,21800.0,22050.0,20850.0,21350.0
2023-05-10,21300.0,22000.0,20600.0,20600.0
2023-05-11,21350.0,23750.0,20550.0,20750.0
2023-05-12,20400.0,21400.0,20100.0,20300.0
2023-05-15,20300.0,21000.0,19410.0,21000.0
2023-05-16,21400.0,21450.0,19990.0,20400.0
2023-05-17,20000.0,21100.0,19720.0,20750.0
2023-05-18,21000.0,21350.0,20550.0,20750.0
2023-05-19,21250.0,21450.0,19930.0,20100.0
2023-05-22,19970.0,21450.0,19400.0,21450.0
2023-05-23,21950.0,23900.0,21550.0,22800.0
2023-05-24,22800.0,26650.0,22500.0,25000.0
2023-05-25,24200.0,25450.0,23600.0,23650.0
2023-05-26,23850.0,25450.0,23600.0,25200.0
2023-05-30,25350.0,25600.0,24000.0,24950.0
2023-05-31,24950.0,25250.0,23800.0,24550.0
2023-06-01,24200.0,24900.0,24000.0,24100.0
2023-06-02,24550.0,25850.0,24400.0,24850.0
2023-06-05,25750.0,28600.0,25700.0,26900.0
2023-06-07,27350.0,29100.0,27150.0,28200.0
2023-06-08,27800.0,28850.0,27500.0,28100.0
2023-06-09,28600.0,28600.0,27000.0,27250.0
2023-06-12,27050.0,27450.0,26400.0,27200.0
2023-06-13,27500.0,27900.0,26550.0,26950.0
2023-06-14,27200.0,29100.0,25800.0,26100.0
2023-06-15,26800.0,28200.0,26350.0,27000.0
2023-06-16,27500.0,27550.0,26100.0,26600.0
2023-06-19,26600.0,26650.0,25700.0,26050.0
2023-06-20,26000.0,26250.0,24650.0,24800.0
2023-06-21,24450.0,25600.0,24450.0,24800.0
2023-06-22,24800.0,26850.0,24800.0,26850.0
2023-06-23,26600.0,27350.0,25600.0,25750.0
2023-06-26,25700.0,26100.0,25000.0,25100.0
2023-06-27,24950.0,25000.0,24000.0,24450.0
2023-06-28,24650.0,24800.0,23000.0,23000.0
2023-06-29,23000.0,23450.0,22400.0,22900.0
2023-06-30,22800.0,23200.0,22200.0,23100.0
