티커,BPS,PER,PBR,EPS,DIV,DPS
060310,947,76.0,2.41,30,0.0,0
054620,10864,12.75,0.59,505,0.0,0
265520,17980,3.12,0.95,5463,1.58,270
211270,5997,46.1,2.21,287,0.53,70
126600,6585,3.9,0.62,1053,2.43,100
013720,1580,0.0,1.2,0,0.0,0
083790,2732,0.0,0.99,0,0.0,0
035760,171357,0.0,0.33,0,0.0,0
311690,7423,0.0,1.88,0,0.0,0
051500,25929,5.48,0.87,4136,1.55,350
058820,1332,0.0,1.61,0,0.0,0
023460,3404,0.0,0.57,0,1.03,20
056730,569,31.28,2.14,39,0.0,0
065770,936,0.0,1.53,0,0.0,0
083660,79,0.0,13.92,0,0.0,0
404950,0,0.0,0.0,0,0.0,0
456440,0,0.0,0.0,0,0.0,0
367360,0,0.0,0.0,0,0.0,0
060900,1740,0.0,1.06,0,0.0,0
025440,2195,0.0,0.95,0,0.0,0
068790,12373,5.38,0.46,1053,2.21,125
241520,3364,4.99,0.85,573,0.0,0
065150,262,0.0,0.94,0,0.0,0
180400,1184,0.0,4.57,0,0.0,0
245620,350,0.0,2.19,0,0.0,0
037370,7337,0.0,1.54,0,0.0,0
050120,8242,1.6,0.37,1918,0.0,0
214270,3566,0.0,0.58,0,0.0,0
130500,5072,7.67,0.51,337,0.0,0
083450,21654,4.14,1.0,5243,1.38,300
297890,2190,7.35,2.19,653,3.13,150
078150,2744,7.26,0.95,358,0.77,20
195940,41095,31.07,1.01,1342,0.77,320
028300,5023,0.0,5.81,0,0.0,0
278650,968,0.0,2.68,0,0.0,0
067630,2314,0.0,3.94,0,0.0,0
024850,864,7.55,2.91,333,0.0,0
047920,3083,0.0,3.91,0,0.0,0
115450,1793,0.0,2.03,0,0.0,0
046210,986,52.5,3.73,70,0.0,0
403870,2407,39.49,14.83,904,0.42,150
036640,6661,8.2,0.77,628,3.88,200
426550,0,0.0,0.0,0,0.0,0
439730,0,0.0,0.0,0,0.0,0
442770,0,0.0,0.0,0,0.0,0
448760,0,0.0,0.0,0,0.0,0
095340,16085,31.71,4.98,2526,0.75,600
099520,413,27.91,3.11,46,0.0,0
067290,1160,81.38,2.03,29,0.0,0
035900,9081,51.5,11.56,2039,0.35,369
318000,4288,20.63,1.92,399,1.63,134
024840,3072,27.25,0.45,51,0.0,0
024120,8740,45.47,0.5,96,3.44,150
455250,0,0.0,0.0,0,0.0,0
458320,0,0.0,0.0,0,0.0,0
464680,0,0.0,0.0,0,0.0,0
021320,22594,20.25,0.2,223,3.32,150
036670,9125,4.31,0.78,1656,3.51,250
044180,1464,0.0,0.48,0,0.0,0
151860,22772,0.83,0.5,13572,1.32,150
046440,8294,6.7,0.61,754,4.36,220
035600,15089,5.1,0.73,2153,3.64,400
226360,883,0.0,0.36,0,0.0,0
111870,10545,0.0,0.28,0,0.0,0
060720,10166,13.72,1.48,1094,2.0,300
058400,1563,19.64,0.7,56,1.82,20
122450,5988,10.49,0.86,489,3.26,167
052900,2046,3.84,0.53,283,0.0,0
376190,8229,11.97,0.73,502,0.0,0
061970,6142,6.92,1.03,918,0.0,0
309960,4723,21.98,0.9,194,0.0,0
060370,4569,0.0,2.29,0,0.29,30
086960,1258,0.0,1.21,0,0.0,0
038340,247,0.0,5.19,0,0.0,0
160550,4300,0.0,1.09,0,0.0,0
053290,5170,20.76,1.1,275,1.05,60
060250,5131,9.98,1.76,903,2.22,200
104200,5461,19.6,0.67,187,0.0,0
024940,4921,40.79,1.57,189,0.32,25
218410,10432,142.08,1.44,106,0.66,100
327260,5233,24.91,1.96,411,0.98,100
091340,8329,0.0,0.32,0,0.0,0
419530,5924,0.0,3.39,0,0.0,0
019550,730,0.0,1.0,0,0.0,0
046140,9066,10.34,0.57,497,0.0,0
151910,216,0.0,2.31,0,0.0,0
036120,866,56.18,4.41,68,1.31,50
099220,1886,84.29,0.63,14,0.0,0
036540,2779,20.19,1.9,262,0.0,0
255220,1980,14.46,0.58,80,0.0,0
040610,9276,1.28,0.17,1225,0.0,0
049470,790,0.0,0.71,0,0.0,0
184230,909,7.42,0.73,90,0.0,0
016250,78491,1.12,0.23,16327,8.2,1500
048550,1115,32.84,1.68,57,0.0,0
063440,1136,35.19,1.67,54,0.0,0
289080,1322,28.14,1.38,65,1.09,20
089230,340,0.0,0.48,0,0.0,0
161570,858,0.0,0.87,0,0.0,0
032540,6121,17.86,0.94,322,4.0,230
022220,1824,13.49,0.65,88,0.0,0
048770,2664,1735.0,1.3,2,0.72,25
246690,1787,5.9,0.68,207,0.82,10
317240,190,0.0,7.89,0,0.0,0
057030,3039,8.92,1.39,472,3.56,150
040300,6078,46.11,0.99,131,0.99,60
051390,8894,11.59,0.46,352,3.68,150
052220,2431,40.41,1.21,73,0.0,0
079940,9245,9.11,1.64,1666,0.46,70
078890,12011,8.78,0.5,689,1.65,100
399720,4734,85.35,7.45,413,0.0,0
036620,568,21.56,6.83,180,0.0,0
217730,1185,0.0,1.27,0,0.0,0
114190,1237,140.15,14.96,132,0.0,0
094480,2934,41.74,1.96,138,0.78,45
039240,3837,8.59,0.8,358,4.23,130
053950,2976,0.0,0.54,0,0.0,0
011040,9479,14.25,0.67,447,6.28,400
024910,3398,4.21,0.72,581,0.0,0
198440,3419,0.0,0.5,0,0.0,0
049720,2824,13.13,3.54,761,3.3,330
014570,7855,6.39,0.89,1095,2.57,180
348150,4433,0.0,1.71,0,0.0,0
098460,4553,19.88,2.55,584,1.21,140
035290,313,0.0,2.35,0,0.0,0
215000,59058,4.84,1.5,18293,5.08,4500
121440,15929,1.88,0.24,2032,4.27,163
366030,2663,11.01,2.28,552,2.96,180
014200,1622,0.0,0.62,0,0.0,0
